acc,contingency,distances,p_val,shapelet,threshold
0.614406779661017,"[83, 37, 56, 64]","[1059.0, 6146.0, 1038.0, 1366.0, 4424.0, 974.0, 1226.0, 3100.0, 11162.0, 750.0, 411.0, 1699.0, 953.0, 1253.0, 1137.0, 2288.0, 1223.0, 2905.0, 1020.0, 1150.0, 1197.0, 449.0, 3091.0, 1371.0, 1406.0, 1432.0, 1051.0, 1790.0, 1820.0, 1343.0, 1654.0, 1443.0, 2586.0, 1517.0, 691.0, 1738.0, 1735.0, 632.0, 1264.0, 1332.0, 3445.0, 1096.0, 1298.0, 935.0, 852.0, 2071.0, 878.0, 1388.0, 953.0, 703.0, 2704.0, 1166.0, 805.0, 1313.0, 1191.0, 5861.0, 1685.0, 1619.0, 2109.0, 993.0, 1186.0, 2524.0, 3290.0, 1602.0, 967.0, 1948.0, 648.0, 1462.0, 1434.0, 1183.0, 3058.0, 2621.0, 1173.0, 2776.0, 2990.0, 1239.0, 1249.0, 955.0, 1246.0, 1040.0, 823.0, 1647.0, 2166.0, 822.0, 1619.0, 1595.0, 6881.0, 1765.0, 3006.0, 1230.0, 1316.0, 2565.0, 842.0, 1015.0, 506.0, 1474.0, 5615.0, 2238.0, 982.0, 619.0, 1918.0, 1079.0, 1163.0, 1370.0, 1210.0, 1007.0, 1971.0, 5652.0, 1219.0, 1878.0, 6599.0, 743.0, 7272.0, 1146.0, 695.0, 1367.0, 1282.0, 3128.0, 668.0, 1275.0, 855.0, 923.0, 1326.0, 376.0, 881.0, 548.0, 658.0, 2083.0, 215.0, 791.0, 381.0, 804.0, 6182.0, 679.0, 3036.0, 1280.0, 799.0, 1637.0, 1325.0, 910.0, 792.0, 1221.0, 539.0, 811.0, 910.0, 905.0, 1500.0, 823.0, 781.0, 1091.0, 1371.0, 1024.0, 651.0, 1219.0, 1159.0, 879.0, 1469.0, 787.0, 4094.0, 1261.0, 1347.0, 969.0, 484.0, 6191.0, 871.0, 1143.0, 976.0, 1052.0, 799.0, 860.0, 1689.0, 703.0, 1622.0, 319.0, 1078.0, 1079.0, 966.0, 2750.0, 867.0, 1876.0, 452.0, 949.0, 663.0, 940.0, 2512.0, 1187.0, 6583.0, 1615.0, 845.0, 2682.0, 939.0, 727.0, 1590.0, 980.0, 886.0, 223.0, 1567.0, 850.0, 2722.0, 830.0, 810.0, 395.0, 1007.0, 1568.0, 1694.0, 1341.0, 1375.0, 439.0, 1073.0, 838.0, 200.0, 1722.0, 1030.0, 1222.0, 1114.0, 1284.0, 981.0, 591.0, 744.0, 3049.0, 926.0, 1418.0, 1417.0, 854.0, 1766.0, 1055.0, 1270.0, 1963.0, 1032.0, 1680.0, 2074.0, 391.0, 1627.0, 1174.0, 790.0, 998.0]",0.0004152202848423368,"[64, 80, 107, 75, 108, 66]",1287
0.6906779661016949,"[37, 83, 82, 38]","[1562.0, 5854.0, 1654.0, 1650.0, 4145.0, 910.0, 2478.0, 3366.0, 8213.0, 1535.0, 506.0, 2618.0, 2090.0, 2298.0, 1780.0, 3150.0, 1977.0, 3535.0, 1427.0, 1946.0, 1565.0, 879.0, 1716.0, 2588.0, 2252.0, 2632.0, 1914.0, 2646.0, 2565.0, 2583.0, 2541.0, 2306.0, 3101.0, 2878.0, 1658.0, 3181.0, 2695.0, 1745.0, 2379.0, 2340.0, 2634.0, 734.0, 1998.0, 1772.0, 1777.0, 2771.0, 2163.0, 2362.0, 2123.0, 990.0, 3230.0, 1742.0, 1945.0, 1997.0, 1680.0, 4607.0, 2295.0, 2269.0, 1950.0, 2038.0, 2091.0, 3244.0, 3361.0, 2662.0, 2149.0, 2413.0, 1077.0, 2266.0, 2012.0, 2060.0, 3516.0, 2723.0, 2191.0, 3948.0, 4306.0, 1685.0, 1179.0, 1455.0, 2307.0, 2197.0, 2002.0, 2614.0, 3026.0, 1490.0, 717.0, 2133.0, 5744.0, 2489.0, 2734.0, 2139.0, 2250.0, 2703.0, 1622.0, 1811.0, 1455.0, 2249.0, 3070.0, 1747.0, 1182.0, 1599.0, 2285.0, 252.0, 1914.0, 2371.0, 2435.0, 2218.0, 2937.0, 5505.0, 2252.0, 2597.0, 4841.0, 1740.0, 5874.0, 2190.0, 1714.0, 2266.0, 2221.0, 2730.0, 474.0, 2162.0, 754.0, 1567.0, 2017.0, 990.0, 2013.0, 1008.0, 1335.0, 606.0, 402.0, 1431.0, 747.0, 1291.0, 5278.0, 1250.0, 3266.0, 1363.0, 444.0, 2139.0, 1387.0, 753.0, 660.0, 2275.0, 1591.0, 1110.0, 1688.0, 1742.0, 1547.0, 1339.0, 1319.0, 2082.0, 231.0, 1147.0, 1294.0, 1996.0, 1283.0, 612.0, 1218.0, 1414.0, 4180.0, 1831.0, 2131.0, 1335.0, 1317.0, 4448.0, 1896.0, 1962.0, 1690.0, 611.0, 1586.0, 1162.0, 2582.0, 349.0, 2124.0, 698.0, 1969.0, 1660.0, 2032.0, 3012.0, 1284.0, 2388.0, 384.0, 696.0, 1253.0, 1410.0, 2654.0, 1335.0, 6489.0, 763.0, 1491.0, 3114.0, 1052.0, 1370.0, 2926.0, 1383.0, 1174.0, 453.0, 2102.0, 1346.0, 974.0, 1086.0, 1926.0, 687.0, 1398.0, 2408.0, 2508.0, 2438.0, 1593.0, 690.0, 1795.0, 1508.0, 482.0, 1398.0, 1701.0, 2286.0, 1595.0, 2520.0, 1625.0, 166.0, 538.0, 3198.0, 842.0, 1778.0, 1529.0, 1419.0, 2573.0, 1318.0, 2349.0, 2382.0, 1140.0, 2670.0, 2396.0, 691.0, 1091.0, 2191.0, 710.0, 1518.0]",6.2593580925142016e-09,"[111, 66, 117, 50]",1916
0.673728813559322,"[87, 33, 46, 74]","[604.0, 3918.0, 498.0, 410.0, 2649.0, 362.0, 1014.0, 1626.0, 6731.0, 435.0, 18.0, 1290.0, 628.0, 882.0, 734.0, 1381.0, 641.0, 1813.0, 475.0, 702.0, 361.0, 367.0, 598.0, 898.0, 870.0, 1010.0, 506.0, 1452.0, 970.0, 933.0, 1135.0, 810.0, 1602.0, 1166.0, 435.0, 1395.0, 1151.0, 490.0, 955.0, 882.0, 1122.0, 316.0, 921.0, 565.0, 607.0, 1275.0, 677.0, 882.0, 817.0, 138.0, 1559.0, 486.0, 595.0, 941.0, 566.0, 3063.0, 775.0, 1015.0, 779.0, 641.0, 975.0, 1538.0, 1815.0, 1004.0, 795.0, 1035.0, 279.0, 890.0, 662.0, 654.0, 2098.0, 1159.0, 737.0, 2034.0, 2382.0, 529.0, 199.0, 673.0, 899.0, 852.0, 622.0, 1116.0, 1330.0, 426.0, 203.0, 973.0, 4409.0, 1047.0, 1553.0, 907.0, 790.0, 1391.0, 492.0, 733.0, 420.0, 775.0, 1420.0, 911.0, 366.0, 439.0, 795.0, 603.0, 820.0, 839.0, 921.0, 754.0, 1197.0, 4445.0, 1002.0, 1181.0, 3257.0, 462.0, 4696.0, 730.0, 414.0, 858.0, 954.0, 1458.0, 265.0, 686.0, 477.0, 585.0, 643.0, 402.0, 657.0, 177.0, 661.0, 681.0, 218.0, 351.0, 189.0, 477.0, 3542.0, 422.0, 1974.0, 467.0, 409.0, 855.0, 516.0, 279.0, 366.0, 749.0, 439.0, 545.0, 543.0, 655.0, 614.0, 442.0, 411.0, 702.0, 423.0, 340.0, 368.0, 642.0, 988.0, 208.0, 390.0, 386.0, 2776.0, 521.0, 801.0, 331.0, 243.0, 3014.0, 559.0, 546.0, 632.0, 342.0, 520.0, 370.0, 942.0, 149.0, 882.0, 273.0, 745.0, 578.0, 630.0, 1826.0, 286.0, 950.0, 350.0, 442.0, 300.0, 434.0, 1282.0, 511.0, 4707.0, 210.0, 507.0, 1450.0, 474.0, 342.0, 1242.0, 647.0, 335.0, 97.0, 668.0, 523.0, 360.0, 250.0, 528.0, 139.0, 374.0, 1137.0, 1166.0, 942.0, 739.0, 150.0, 869.0, 514.0, 126.0, 378.0, 759.0, 798.0, 601.0, 1013.0, 539.0, 494.0, 92.0, 1716.0, 436.0, 1092.0, 419.0, 639.0, 1297.0, 502.0, 811.0, 1140.0, 454.0, 956.0, 1006.0, 153.0, 948.0, 789.0, 286.0, 618.0]",1.0127933452718602e-07,"[106, 75, 101, 60]",746
0.6228813559322034,"[81, 39, 52, 68]","[1167.0, 6540.0, 1276.0, 1509.0, 5042.0, 1321.0, 1436.0, 3086.0, 10884.0, 980.0, 805.0, 1775.0, 1029.0, 1155.0, 1233.0, 2344.0, 1597.0, 2965.0, 1071.0, 1306.0, 1238.0, 480.0, 3008.0, 1539.0, 1698.0, 1664.0, 1196.0, 2168.0, 1898.0, 1426.0, 2026.0, 1529.0, 2498.0, 1655.0, 727.0, 1888.0, 1853.0, 728.0, 1470.0, 1392.0, 3355.0, 1164.0, 1354.0, 979.0, 1090.0, 2087.0, 924.0, 1362.0, 1021.0, 666.0, 2776.0, 1314.0, 1033.0, 1188.0, 1326.0, 5623.0, 1615.0, 1754.0, 2203.0, 1195.0, 1474.0, 2528.0, 3218.0, 1914.0, 997.0, 2070.0, 950.0, 1536.0, 1399.0, 1109.0, 3522.0, 2623.0, 1295.0, 3036.0, 3348.0, 1251.0, 1214.0, 889.0, 1370.0, 1152.0, 997.0, 1963.0, 2154.0, 1184.0, 1643.0, 1739.0, 6745.0, 1825.0, 2918.0, 1318.0, 1514.0, 3095.0, 942.0, 1059.0, 462.0, 1627.0, 5552.0, 2486.0, 1214.0, 583.0, 1752.0, 1015.0, 1367.0, 1408.0, 1445.0, 1225.0, 2166.0, 6258.0, 1427.0, 1931.0, 6389.0, 971.0, 7218.0, 1384.0, 981.0, 1505.0, 1550.0, 3502.0, 591.0, 1465.0, 955.0, 967.0, 1397.0, 382.0, 1049.0, 844.0, 734.0, 1779.0, 295.0, 689.0, 705.0, 1036.0, 6012.0, 753.0, 2990.0, 1160.0, 1149.0, 1713.0, 1297.0, 1002.0, 950.0, 1420.0, 717.0, 907.0, 1118.0, 975.0, 1586.0, 1035.0, 805.0, 1185.0, 1327.0, 1102.0, 613.0, 1341.0, 1461.0, 1395.0, 1510.0, 833.0, 4516.0, 1146.0, 1352.0, 1135.0, 406.0, 6287.0, 1036.0, 1241.0, 1168.0, 1120.0, 847.0, 973.0, 1813.0, 977.0, 1574.0, 529.0, 1352.0, 1161.0, 1063.0, 2948.0, 927.0, 2270.0, 300.0, 999.0, 639.0, 993.0, 2878.0, 1114.0, 7115.0, 1295.0, 831.0, 2660.0, 1017.0, 593.0, 1868.0, 1240.0, 1232.0, 421.0, 1498.0, 927.0, 2513.0, 1162.0, 1014.0, 633.0, 1203.0, 1678.0, 2042.0, 1519.0, 1456.0, 438.0, 1137.0, 1070.0, 334.0, 1714.0, 994.0, 1246.0, 1078.0, 1554.0, 1121.0, 668.0, 819.0, 2963.0, 1148.0, 1510.0, 1569.0, 1002.0, 2068.0, 1102.0, 1276.0, 1945.0, 988.0, 1890.0, 2108.0, 569.0, 1675.0, 1404.0, 958.0, 1042.0]",0.0001658515837592534,"[60, 84, 110, 72, 108, 72]",1387
0.6440677966101694,"[81, 39, 47, 73]","[787.0, 4543.0, 666.0, 635.0, 3378.0, 426.0, 1015.0, 2413.0, 8847.0, 451.0, 99.0, 1579.0, 854.0, 1182.0, 750.0, 1670.0, 879.0, 2213.0, 547.0, 802.0, 802.0, 376.0, 823.0, 979.0, 879.0, 1014.0, 570.0, 1614.0, 1091.0, 1046.0, 1235.0, 1006.0, 2131.0, 1175.0, 499.0, 1395.0, 1160.0, 648.0, 991.0, 963.0, 1916.0, 565.0, 925.0, 566.0, 656.0, 1553.0, 821.0, 1222.0, 833.0, 390.0, 1883.0, 495.0, 604.0, 1074.0, 774.0, 4432.0, 1224.0, 1130.0, 1004.0, 762.0, 975.0, 1862.0, 2656.0, 1125.0, 939.0, 1179.0, 315.0, 939.0, 831.0, 754.0, 2387.0, 1761.0, 858.0, 2200.0, 2431.0, 690.0, 966.0, 773.0, 900.0, 888.0, 671.0, 1197.0, 1651.0, 442.0, 779.0, 1400.0, 6031.0, 1147.0, 2227.0, 932.0, 921.0, 1791.0, 661.0, 877.0, 568.0, 865.0, 3356.0, 915.0, 466.0, 503.0, 1119.0, 759.0, 821.0, 1131.0, 957.0, 854.0, 1415.0, 4641.0, 1006.0, 1230.0, 4857.0, 487.0, 5057.0, 730.0, 439.0, 1027.0, 990.0, 1714.0, 490.0, 786.0, 577.0, 601.0, 764.0, 411.0, 757.0, 193.0, 697.0, 1210.0, 299.0, 355.0, 190.0, 493.0, 4698.0, 458.0, 2603.0, 492.0, 442.0, 1080.0, 741.0, 645.0, 415.0, 849.0, 464.0, 561.0, 559.0, 656.0, 810.0, 542.0, 463.0, 871.0, 850.0, 582.0, 626.0, 798.0, 1013.0, 498.0, 666.0, 753.0, 3427.0, 982.0, 970.0, 527.0, 244.0, 4241.0, 606.0, 802.0, 776.0, 406.0, 641.0, 566.0, 1086.0, 185.0, 1323.0, 287.0, 781.0, 747.0, 679.0, 1890.0, 326.0, 1434.0, 638.0, 690.0, 597.0, 515.0, 1682.0, 592.0, 5283.0, 688.0, 644.0, 2194.0, 643.0, 378.0, 1251.0, 953.0, 696.0, 146.0, 1124.0, 548.0, 1207.0, 616.0, 529.0, 260.0, 681.0, 1146.0, 1175.0, 951.0, 964.0, 250.0, 933.0, 523.0, 190.0, 1328.0, 934.0, 879.0, 761.0, 1017.0, 795.0, 563.0, 576.0, 2392.0, 591.0, 1096.0, 562.0, 664.0, 1586.0, 698.0, 826.0, 1565.0, 470.0, 1291.0, 1330.0, 276.0, 1057.0, 870.0, 430.0, 740.0]",1.086667110868345e-05,"[77, 106, 75, 101, 60]",867
0.6991525423728814,"[32, 88, 79, 41]","[650.0, 3562.0, 698.0, 490.0, 2463.0, 471.0, 939.0, 1922.0, 7455.0, 393.0, 90.0, 1158.0, 730.0, 1086.0, 732.0, 1605.0, 715.0, 2173.0, 588.0, 610.0, 431.0, 425.0, 808.0, 956.0, 940.0, 980.0, 478.0, 1214.0, 998.0, 989.0, 1119.0, 962.0, 1900.0, 1122.0, 379.0, 1455.0, 1125.0, 572.0, 925.0, 945.0, 1314.0, 518.0, 957.0, 617.0, 479.0, 1515.0, 789.0, 914.0, 801.0, 234.0, 1855.0, 402.0, 759.0, 965.0, 700.0, 3597.0, 877.0, 1081.0, 801.0, 735.0, 997.0, 1840.0, 2211.0, 986.0, 986.0, 1147.0, 223.0, 1098.0, 808.0, 760.0, 1932.0, 1325.0, 861.0, 1936.0, 2298.0, 722.0, 285.0, 720.0, 1032.0, 787.0, 730.0, 1212.0, 1570.0, 450.0, 355.0, 1215.0, 4998.0, 1218.0, 1891.0, 855.0, 906.0, 1305.0, 594.0, 773.0, 534.0, 875.0, 1670.0, 974.0, 510.0, 526.0, 971.0, 735.0, 786.0, 1017.0, 986.0, 898.0, 1379.0, 4069.0, 1060.0, 1411.0, 3771.0, 556.0, 5366.0, 714.0, 450.0, 940.0, 909.0, 1530.0, 297.0, 681.0, 518.0, 717.0, 791.0, 326.0, 717.0, 93.0, 513.0, 973.0, 134.0, 473.0, 385.0, 335.0, 4094.0, 654.0, 2158.0, 467.0, 616.0, 1125.0, 610.0, 443.0, 286.0, 873.0, 593.0, 345.0, 570.0, 557.0, 473.0, 490.0, 373.0, 850.0, 505.0, 342.0, 450.0, 713.0, 1046.0, 282.0, 534.0, 494.0, 2294.0, 641.0, 869.0, 297.0, 311.0, 3540.0, 593.0, 538.0, 686.0, 372.0, 494.0, 610.0, 1094.0, 279.0, 716.0, 381.0, 807.0, 793.0, 684.0, 1390.0, 228.0, 1046.0, 379.0, 573.0, 358.0, 418.0, 994.0, 453.0, 4419.0, 198.0, 643.0, 1750.0, 772.0, 290.0, 1258.0, 793.0, 357.0, 235.0, 574.0, 462.0, 594.0, 354.0, 578.0, 205.0, 426.0, 1068.0, 1156.0, 882.0, 903.0, 154.0, 821.0, 508.0, 77.0, 326.0, 999.0, 875.0, 461.0, 1121.0, 575.0, 498.0, 198.0, 2106.0, 398.0, 1050.0, 445.0, 927.0, 1463.0, 466.0, 943.0, 1251.0, 516.0, 962.0, 1276.0, 275.0, 1074.0, 769.0, 396.0, 654.0]",1.1662838817140656e-09,"[108, 73, 96, 57]",718
0.6101694915254237,"[50, 70, 76, 44]","[574.0, 4571.0, 730.0, 583.0, 3510.0, 354.0, 894.0, 2202.0, 8891.0, 579.0, 371.0, 799.0, 634.0, 911.0, 727.0, 1702.0, 977.0, 2175.0, 495.0, 597.0, 757.0, 96.0, 845.0, 1169.0, 725.0, 1162.0, 799.0, 1170.0, 1224.0, 1095.0, 1189.0, 895.0, 1940.0, 1003.0, 625.0, 1249.0, 1327.0, 453.0, 901.0, 957.0, 1954.0, 613.0, 919.0, 592.0, 862.0, 1427.0, 618.0, 1147.0, 647.0, 449.0, 2101.0, 685.0, 802.0, 813.0, 703.0, 4524.0, 1014.0, 1014.0, 1368.0, 954.0, 755.0, 1812.0, 2475.0, 857.0, 834.0, 1201.0, 271.0, 875.0, 931.0, 755.0, 2217.0, 1467.0, 922.0, 2238.0, 2275.0, 726.0, 875.0, 471.0, 928.0, 963.0, 779.0, 1183.0, 1533.0, 578.0, 729.0, 998.0, 5791.0, 1177.0, 1979.0, 936.0, 800.0, 1915.0, 734.0, 451.0, 458.0, 752.0, 3722.0, 759.0, 734.0, 775.0, 1359.0, 481.0, 647.0, 1004.0, 911.0, 1021.0, 1417.0, 4421.0, 748.0, 1058.0, 4978.0, 665.0, 3963.0, 766.0, 795.0, 909.0, 822.0, 910.0, 500.0, 906.0, 572.0, 615.0, 899.0, 235.0, 739.0, 794.0, 295.0, 1744.0, 67.0, 487.0, 504.0, 448.0, 4690.0, 314.0, 2343.0, 562.0, 354.0, 964.0, 508.0, 731.0, 546.0, 923.0, 420.0, 487.0, 485.0, 615.0, 1027.0, 460.0, 581.0, 718.0, 1196.0, 280.0, 623.0, 530.0, 983.0, 716.0, 918.0, 597.0, 3005.0, 1005.0, 750.0, 362.0, 380.0, 4380.0, 752.0, 866.0, 486.0, 472.0, 643.0, 530.0, 1054.0, 169.0, 965.0, 387.0, 585.0, 674.0, 476.0, 2254.0, 390.0, 1108.0, 458.0, 424.0, 533.0, 643.0, 2102.0, 732.0, 5093.0, 714.0, 238.0, 2183.0, 589.0, 425.0, 1252.0, 571.0, 495.0, 210.0, 1277.0, 423.0, 1659.0, 469.0, 506.0, 196.0, 514.0, 1110.0, 1009.0, 779.0, 1094.0, 514.0, 939.0, 409.0, 102.0, 1172.0, 1135.0, 842.0, 991.0, 978.0, 692.0, 323.0, 318.0, 2202.0, 443.0, 967.0, 480.0, 478.0, 1062.0, 520.0, 954.0, 1471.0, 180.0, 1238.0, 1296.0, 48.0, 1181.0, 1099.0, 111.0, 586.0]",0.0007772012305775491,"[75, 99, 64, 107, 72]",826
0.6694915254237288,"[76, 44, 36, 84]","[958.0, 5219.0, 694.0, 639.0, 3778.0, 430.0, 1024.0, 2737.0, 11763.0, 460.0, 100.0, 1615.0, 935.0, 1409.0, 946.0, 2117.0, 904.0, 2943.0, 696.0, 851.0, 818.0, 412.0, 1784.0, 988.0, 915.0, 1030.0, 571.0, 1615.0, 1287.0, 1055.0, 1633.0, 1055.0, 2615.0, 1420.0, 563.0, 1431.0, 1224.0, 997.0, 1106.0, 964.0, 2400.0, 859.0, 974.0, 575.0, 756.0, 1903.0, 990.0, 1226.0, 944.0, 463.0, 2612.0, 499.0, 1930.0, 1155.0, 1130.0, 5728.0, 1279.0, 1194.0, 1260.0, 1208.0, 979.0, 2223.0, 3499.0, 1189.0, 1054.0, 1260.0, 315.0, 1003.0, 835.0, 758.0, 2531.0, 2210.0, 1136.0, 2264.0, 2435.0, 923.0, 1066.0, 789.0, 901.0, 931.0, 707.0, 1222.0, 2227.0, 491.0, 780.0, 1569.0, 7964.0, 1823.0, 2621.0, 948.0, 930.0, 1807.0, 677.0, 902.0, 669.0, 914.0, 4272.0, 964.0, 530.0, 507.0, 1848.0, 759.0, 902.0, 1231.0, 961.0, 1023.0, 1845.0, 5541.0, 1055.0, 1607.0, 6565.0, 656.0, 6821.0, 874.0, 539.0, 1137.0, 1015.0, 1763.0, 499.0, 822.0, 878.0, 605.0, 764.0, 538.0, 813.0, 314.0, 701.0, 2891.0, 415.0, 380.0, 226.0, 518.0, 6205.0, 552.0, 3627.0, 853.0, 667.0, 1357.0, 862.0, 661.0, 419.0, 853.0, 468.0, 642.0, 728.0, 726.0, 826.0, 597.0, 472.0, 872.0, 1458.0, 800.0, 749.0, 834.0, 1014.0, 723.0, 1163.0, 787.0, 3871.0, 991.0, 1108.0, 648.0, 260.0, 5242.0, 615.0, 827.0, 812.0, 415.0, 762.0, 591.0, 1531.0, 474.0, 1612.0, 291.0, 781.0, 793.0, 743.0, 1894.0, 746.0, 1450.0, 775.0, 699.0, 718.0, 515.0, 1731.0, 687.0, 5767.0, 2243.0, 1128.0, 2854.0, 647.0, 427.0, 1351.0, 1131.0, 772.0, 594.0, 1205.0, 668.0, 2460.0, 620.0, 565.0, 836.0, 690.0, 1195.0, 1176.0, 1015.0, 1028.0, 314.0, 958.0, 524.0, 763.0, 1772.0, 1568.0, 985.0, 930.0, 1078.0, 899.0, 592.0, 577.0, 3017.0, 672.0, 1100.0, 1029.0, 805.0, 1803.0, 798.0, 862.0, 2038.0, 831.0, 1327.0, 2230.0, 277.0, 1587.0, 948.0, 679.0, 740.0]",2.27311542438009e-07,"[77, 106, 75, 101, 60, 72]",906
0.6101694915254237,"[61, 59, 87, 33]","[1128.0, 6647.0, 701.0, 849.0, 4845.0, 829.0, 1227.0, 2689.0, 10263.0, 937.0, 358.0, 2376.0, 1015.0, 1314.0, 1105.0, 2003.0, 1330.0, 2530.0, 884.0, 1173.0, 854.0, 758.0, 2648.0, 1238.0, 1333.0, 1414.0, 913.0, 2093.0, 1735.0, 1427.0, 1867.0, 1152.0, 2265.0, 1658.0, 676.0, 1855.0, 1616.0, 623.0, 1201.0, 1419.0, 3046.0, 971.0, 1183.0, 818.0, 773.0, 1820.0, 1087.0, 1473.0, 1170.0, 548.0, 2369.0, 1054.0, 688.0, 1195.0, 1104.0, 5312.0, 1722.0, 1500.0, 1718.0, 880.0, 1271.0, 2183.0, 2900.0, 1663.0, 1027.0, 1591.0, 643.0, 1375.0, 1241.0, 1048.0, 3403.0, 2285.0, 934.0, 3063.0, 3227.0, 1123.0, 882.0, 1066.0, 1187.0, 1151.0, 814.0, 1662.0, 1963.0, 831.0, 1234.0, 1544.0, 6270.0, 1610.0, 2741.0, 1335.0, 1201.0, 2838.0, 755.0, 1594.0, 545.0, 1251.0, 4742.0, 1994.0, 541.0, 784.0, 1470.0, 998.0, 1245.0, 1173.0, 1198.0, 860.0, 1758.0, 6145.0, 1524.0, 1503.0, 5837.0, 662.0, 6769.0, 1179.0, 698.0, 1315.0, 1265.0, 3103.0, 551.0, 1148.0, 772.0, 794.0, 1019.0, 625.0, 740.0, 439.0, 963.0, 1999.0, 485.0, 880.0, 192.0, 831.0, 5559.0, 566.0, 2697.0, 1063.0, 318.0, 1398.0, 1128.0, 959.0, 781.0, 1075.0, 680.0, 830.0, 847.0, 880.0, 1064.0, 936.0, 773.0, 1034.0, 847.0, 908.0, 785.0, 1182.0, 1068.0, 926.0, 1311.0, 794.0, 4531.0, 1307.0, 1291.0, 690.0, 472.0, 5318.0, 776.0, 1168.0, 1014.0, 825.0, 1006.0, 681.0, 1510.0, 742.0, 1811.0, 273.0, 1271.0, 1010.0, 947.0, 2861.0, 1000.0, 2171.0, 597.0, 980.0, 722.0, 933.0, 2851.0, 1159.0, 7234.0, 1959.0, 710.0, 2399.0, 1045.0, 684.0, 1627.0, 967.0, 911.0, 206.0, 1532.0, 908.0, 2382.0, 755.0, 791.0, 626.0, 895.0, 1721.0, 1807.0, 1340.0, 1195.0, 382.0, 1130.0, 1023.0, 517.0, 1487.0, 1007.0, 1071.0, 1070.0, 1249.0, 828.0, 402.0, 553.0, 2755.0, 1013.0, 1451.0, 1252.0, 803.0, 2227.0, 1462.0, 1154.0, 1764.0, 916.0, 1637.0, 1803.0, 589.0, 1359.0, 1027.0, 627.0, 918.0]",0.000556719721086169,"[71, 83, 108, 82, 107, 60]",1272
0.6440677966101694,"[85, 35, 51, 69]","[1982.0, 5053.0, 2254.0, 1810.0, 3900.0, 1506.0, 1779.0, 4164.0, 12458.0, 1289.0, 1087.0, 1414.0, 2065.0, 1528.0, 2307.0, 3831.0, 1459.0, 4562.0, 1034.0, 957.0, 1478.0, 888.0, 3675.0, 2646.0, 2478.0, 2443.0, 1091.0, 1517.0, 2727.0, 1542.0, 1894.0, 2459.0, 3585.0, 2434.0, 1403.0, 2576.0, 2355.0, 1919.0, 2059.0, 2043.0, 4145.0, 1815.0, 1994.0, 1126.0, 1476.0, 3211.0, 1293.0, 1268.0, 1900.0, 1701.0, 4072.0, 1613.0, 2197.0, 1582.0, 1735.0, 6761.0, 2140.0, 2782.0, 2715.0, 1665.0, 2224.0, 4111.0, 4879.0, 1893.0, 1915.0, 3578.0, 1643.0, 2476.0, 2399.0, 1715.0, 3070.0, 3472.0, 2370.0, 3122.0, 3698.0, 1903.0, 1288.0, 1331.0, 1709.0, 1622.0, 1367.0, 2547.0, 3482.0, 1786.0, 2534.0, 1989.0, 8144.0, 2732.0, 3814.0, 1922.0, 2287.0, 2388.0, 2173.0, 919.0, 279.0, 2283.0, 7722.0, 1954.0, 2105.0, 745.0, 3319.0, 1366.0, 1823.0, 2419.0, 1847.0, 2340.0, 3386.0, 5196.0, 2254.0, 2719.0, 7584.0, 2088.0, 7314.0, 1990.0, 1443.0, 2531.0, 1921.0, 2615.0, 718.0, 2576.0, 1266.0, 1341.0, 1145.0, 1325.0, 1064.0, 811.0, 1021.0, 1636.0, 674.0, 2394.0, 1311.0, 655.0, 7627.0, 1282.0, 3718.0, 711.0, 898.0, 2672.0, 1278.0, 914.0, 680.0, 2220.0, 1350.0, 1136.0, 1239.0, 1101.0, 1435.0, 1294.0, 1119.0, 2274.0, 1193.0, 1372.0, 1497.0, 1321.0, 1862.0, 1327.0, 1690.0, 1348.0, 2295.0, 2020.0, 2074.0, 1341.0, 1135.0, 6562.0, 1255.0, 985.0, 1312.0, 1609.0, 1710.0, 1454.0, 2912.0, 841.0, 2329.0, 1071.0, 1930.0, 1848.0, 1168.0, 501.0, 1099.0, 1963.0, 197.0, 1156.0, 1682.0, 1296.0, 1539.0, 1142.0, 5715.0, 1278.0, 1942.0, 3954.0, 1734.0, 955.0, 2439.0, 867.0, 735.0, 1303.0, 1483.0, 1678.0, 2793.0, 1442.0, 1758.0, 798.0, 1118.0, 2468.0, 2670.0, 2241.0, 2140.0, 1437.0, 1899.0, 1562.0, 640.0, 2714.0, 1463.0, 1150.0, 662.0, 2279.0, 1739.0, 787.0, 666.0, 4231.0, 877.0, 1022.0, 2070.0, 2046.0, 2386.0, 1135.0, 2230.0, 3055.0, 1787.0, 2894.0, 3567.0, 870.0, 2550.0, 2026.0, 384.0, 1355.0]",9.470355183197333e-06,"[58, 58, 123, 65, 94]",1961
